instance,run,a,b,c_ab,c_ba
sdmk05,1,EDA-TS,EDA,1.0,0.0
sdmk05,1,EDA-TS,NSGA-II,1.0,0.0
sdmk05,1,EDA-TS,EDA-VNS,0.0,0.9777777777777777
sdmk05,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,1,EDA,NSGA-II,1.0,0.0
sdmk05,1,EDA,EDA-VNS,0.0,1.0
sdmk05,1,EDA,H-GA-TS,1.0,0.0
sdmk05,1,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,1,NSGA-II,H-GA-TS,0.0,1.0
sdmk05,1,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,2,EDA-TS,EDA,1.0,0.0
sdmk05,2,EDA-TS,NSGA-II,1.0,0.0
sdmk05,2,EDA-TS,EDA-VNS,0.0,1.0
sdmk05,2,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,2,EDA,NSGA-II,0.8571428571428571,0.0
sdmk05,2,EDA,EDA-VNS,0.0,1.0
sdmk05,2,EDA,H-GA-TS,1.0,0.0
sdmk05,2,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,2,NSGA-II,H-GA-TS,0.15384615384615385,0.42857142857142855
sdmk05,2,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,3,EDA-TS,EDA,1.0,0.0
sdmk05,3,EDA-TS,NSGA-II,1.0,0.0
sdmk05,3,EDA-TS,EDA-VNS,0.0,1.0
sdmk05,3,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,3,EDA,NSGA-II,0.8571428571428571,0.0
sdmk05,3,EDA,EDA-VNS,0.0,1.0
sdmk05,3,EDA,H-GA-TS,0.07142857142857142,0.0
sdmk05,3,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,3,NSGA-II,H-GA-TS,0.0,0.7142857142857143
sdmk05,3,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,4,EDA-TS,EDA,0.0,0.0
sdmk05,4,EDA-TS,NSGA-II,1.0,0.0
sdmk05,4,EDA-TS,EDA-VNS,0.5,0.0
sdmk05,4,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,4,EDA,NSGA-II,0.875,0.0
